"","player_name","overall_rating","player_api_id","sum_gk","Number_of_appearances","leagues_played"
"1","Patryk Rachwal,18",63,2625,153,90,1
"2","Diego Mainz",72,2752,53,81,1
"3","Jose Dorado",75,2768,128,71,1
"4","Ignacio Gonzalez",74,2770,148,16,2
"5","Alberto Rey",73,2790,144,50,1
"6","Javier Jimenez",69,2796,340,1,1
"7","Pablo Hernandez",82,2802,146,144,2
"8","Ruben Perez",76,2805,141,131,1
"9","Ivan Perez",72,2857,143,3,1
"10","Vicente Sanchez",76,2862,146,17,1
"11","Gregory Lacombe",68,2907,135,6,1
"12","Ugur Inceman",72,2973,147,16,1
"13","David Rivas Rodriguez",82,2977,104,5,1
"14","Jorge Molina",75,2983,139,71,1
"15","Sergio Aragones",75,2984,364,38,1
"16","Alexandre Hauw",69,3140,136,42,1
"17","Marat Izmailov",81,3204,156,42,1
"18","Kelly Berville",67,3263,115,19,1
"19","Abdelmalek Cherrad",62,3264,98,1,1
"20","Oscar Sanchez",71,3316,108,6,1
"21","Vincent Euvrard",64,3329,130,85,1
"22","Luca Belingheri",72,3377,138,1,1
"23","Aleksander Radosavljevic",71,3441,138,74,1
"24","Peter Halmosi",75,3512,143,4,1
"25","Alexandr Kerzhakov",82,3517,149,17,1
"26","Andrey Arshavin",86,3520,159,70,1
"27","Lee Wilkie",73,4747,128,36,1
"28","Boban Grncarov",66,4863,54,25,1
"29","Iriney",77,4902,145,68,1
"30","Tim Clancy",64,4939,116,97,1
"31","Sebastian Olszar",59,4999,108,49,1
"32","Ibrahim Sidibe",65,5016,50,69,1
"33","Jeroen Verhoeven",68,5044,344,21,1
"34","Wilko de Vogt",61,5047,309,10,1
"35","Sander Duits",68,5063,61,106,1
"36","Gudmundur Steinarsson",62,5184,108,5,1
"37","Manuel Silas",72,5192,146,52,1
"38","Remy Gomis",73,5202,139,163,1
"39","Laurent Batlles",77,5217,140,102,1
"40","Raffaele Rubino",63,5223,52,7,1
"41","Iban Javier Cuadrado",73,5233,132,18,1
"42","Julio Alvarez",76,5243,149,38,1
"43","Perez Richi",67,5247,118,16,1
"44","Gary Coulibaly",68,5272,126,27,1
"45","Ifet Taljevic,23",60,5362,121,24,1
"46","Marjan Petkovic",67,5440,332,5,1
"47","Freddy Mombongo-Dues",62,5468,48,7,1
"48","Yann Jouffre",75,5610,133,141,1
"49","Bertrand Robert",73,5629,101,3,1
"50","Jeremy Blayac",68,5631,113,13,1
"51","Dimitri Bulykin",73,5662,124,45,1
"52","Gerry Koning",65,5686,138,28,1
"53","Rowin van Zaanen",66,5687,52,20,1
"54","Kees Kwakman",71,5693,148,119,1
"55","Charles Dissels",65,5700,132,3,1
"56","Otman Bakkal",75,5703,149,74,1
"57","Diederik Boer",70,5710,352,53,1
"58","Denis Dessaer",60,6757,42,1,1
"59","Oliver Vinamont",60,6771,51,22,1
"60","Roel van Hemert",60,6798,55,14,1
"61","Jonas Ivens",68,6800,132,93,2
"62","Brecht Verbrugghe",63,6803,143,16,1
"63","Pedro Kamata",72,6824,128,1,1
"64","Fabian Vargas",76,6853,169,18,1
"65","Santiago Acasiete",75,6864,134,65,1
"66","Fabian Canobbio",77,6911,160,38,1
"67","Toni Lehtinen",60,7099,123,1,1
"68","Sebastian Sorsa",61,7206,48,2,1
"69","Roni Porokara",69,7226,145,16,1
"70","Kasper Haemaelaeinen",72,7284,130,81,1
"71","Anssi Jaakkola",63,7334,310,12,1
"72","Tom van Hyfte",67,7604,64,33,1
"73","Kristian Nushi",63,7616,133,97,1
"74","Anthony Favre",60,7621,300,51,1
"75","Thierno Bah",63,7627,76,55,1
"76","Tibert Pont",57,7628,41,27,1
"77","Jerome Schneider",55,7663,56,36,1
"78","Josip Colina",59,7681,128,49,1
"79","Alessandro Iandoli",66,7683,49,57,1
"80","Michele Polverino",60,8777,97,31,1
"81","Marco Perez",73,8780,47,3,1
"82","Stefan Nater",58,8784,49,87,1
"83","Thomas Reinmann",63,8800,63,117,1
"84","Angelo Raso",57,8837,148,43,1
"85","Cristian Florin Ianu",66,8840,140,60,1
"86","Marco Padalino",75,8881,143,38,2
"87","Antoine Rey",65,8893,62,31,1
"88","Nikica Jelavic",78,8922,110,120,2
"89","Ryan Thomson",52,8925,49,11,1
"90","Hrvoje Cale",72,8930,114,17,1
"91","Dino Drpic",72,8932,108,15,1
"92","Mile Jedinak",76,8985,136,78,1
"93","Mensur Mujdza",73,9079,143,87,1
"94","Ivica Vrdoljak",70,9086,43,112,1
"95","Ivan Radeljic,18",67,9124,125,18,1
"96","Tomislav Dujmovic",72,9128,141,9,1
"97","Yasin Karaca",61,9144,131,8,1
"98","Joost Volmer",65,9149,101,10,1
"99","Janos Balogh",71,9183,362,34,1
"100","Tibor Tisza",65,9203,59,3,1
"101","Peter Czvitkovics",70,9213,57,11,1
"102","Balazs Toth",66,9307,126,44,2
"103","Oleksandr Shevelyukhin",67,9449,46,75,1
"104","Alejandro Dominguez",78,10348,150,39,1
"105","Stanislav Vlcek",75,10404,148,1,1
"106","Evaldas Razulis",62,10474,48,5,1
"107","Diniyar Bilyaletdinov",79,10491,155,33,1
"108","Andris Vanins",72,10637,361,223,1
"109","Robbie Haemhouts",66,10880,61,59,1
"110","Robert Jez",69,10933,71,102,1
"111","Pavel Krmas",69,10950,122,93,1
"112","Petr Jiracek",76,10967,130,38,1
"113","Maros Klimpl",73,10984,123,20,1
"114","Tomas Cerny",74,11024,370,135,1
"115","Roman Hubnik",74,11027,144,34,1
"116","Vojtech Schulmeister",63,11038,127,2,1
"117","Matej Krajcik",70,11049,137,6,1
"118","Michal Svec",70,11052,135,37,1
"119","Csaba Horvath",66,11061,122,114,2
"120","Konstantin Engel",67,11242,59,2,1
"121","Roman Prokoph",65,11263,104,11,1
"122","Lucas",78,11285,52,8,1
"123","Jean-Louis Leca",71,11316,357,45,1
"124","Florent Ghisolfi",64,11317,139,4,1
"125","Benoit Costil",81,11319,407,181,1
"126","Steeve Elana",76,11320,374,95,1
"127","Vincent Plante",74,11321,369,53,1
"128","Cedric Hengbart",78,11323,119,149,1
"129","Nicolas Seube",72,11324,130,141,1
"130","Anthony Deroin",71,11327,139,26,1
"131","Reynald Lemaitre",70,11329,140,132,1
"132","Yohann Eudeline",70,11332,132,2,1
"133","Rudy Riou",71,11336,357,69,2
"134","Jose Gaspar",68,11349,113,92,1
"135","Olafur Ingi Skulason",70,11357,128,41,1
"136","Wade Elliott",74,11496,145,34,1
"137","Stuart Nelson",65,11498,328,3,1
"138","Fernando Soriano",74,11555,150,110,1
"139","Avi Strool",67,11569,141,28,1
"140","Tamir Cohen",73,11576,155,32,1
"141","Gael Genevier",69,11671,161,4,1
"142","Antonio Candreva",83,11685,156,197,1
"143","Pedro Roma",72,11716,352,2,1
"144","Nuno Piloto",69,11726,58,94,1
"145","Tininho",57,11734,111,11,1
"146","Antolin Alcaraz",74,11736,140,116,3
"147","Artur",74,11743,58,128,1
"148","Pedro Alves",66,11746,329,2,1
"149","Alessandro Mangiarrati",60,11747,120,56,1
"150","Marco Paulo",64,11752,131,2,1
"151","Ruben Amorim",77,11754,150,65,1
"152","Eliseu",78,11758,139,203,2
"153","Carlos Milhazes,22",68,11759,141,22,1
"154","Jorge Baptista",65,11760,316,5,1
"155","Roversio",73,11778,128,26,1
"156","Rui Baiao,22",65,11788,133,22,1
"157","Ferreira",61,11795,126,12,1
"158","Briguel",66,11796,112,103,1
"159","Zeca",75,11798,48,13,1
"160","Luis Olim",65,11801,126,39,1
"161","Fernando Cardozo",69,11827,136,25,1
"162","Bruno Patacas",70,11829,136,52,1
"163","de Oliveira Cleber Monteiro",69,11833,131,64,1
"164","Marcelo Pereira Bruno",68,11836,139,29,1
"165","Miguel Fidalgo",68,11840,131,24,1
"166","Pedro Moreira",69,11849,63,52,1
"167","Nuno Silva",68,11851,126,33,1
"168","Jose Manuel Ze Gomes",67,11860,139,59,1
"169","Bruno Mendes",66,11861,129,11,1
"170","Danielson",71,11863,111,175,1
"171","Ferreira Delson,28",65,11865,136,28,1
"172","Laranjeiro",68,11876,149,26,1
"173","Flavio Meireles",70,11897,134,28,1
"174","Ricardo Pessoa",65,11901,59,52,1
"175","Ersen Martin",75,12005,140,1,1
"176","Marcel MBayo,25",66,12099,121,25,1
