"","team_long_name","team_api_id","buildUpPlay","chanceCreation","defense","fielded_Players","total_goals"
"1","Ruch Chorzów",1601,139,186,175,56,280
"2","Oud-Heverlee Leuven",1773,153,157,137,56,126
"3","Jagiellonia Białystok",1957,158,163,210,65,287
"4","S.C. Olhanense",2033,147,165,155,88,138
"5","Lech Poznań",2182,176,196,160,61,372
"6","P. Warszawa",2183,80,180,175,36,184
"7","Cracovia",2186,125,168,205,50,235
"8","Évian Thonon Gaillard FC",4087,156,180,165,57,180
"9","US Boulogne Cote D'Opale",4170,86,165,200,32,31
"10","Novara",6269,179,172,151,29,34
"11","KAS Eupen",6351,105,160,155,25,28
"12","GFC Ajaccio",6391,153,179,146,23,37
"13","FC Paços de Ferreira",6403,142,170,150,102,292
"14","PEC Zwolle",6413,137,165,181,54,204
"15","Leixões SC",6421,60,165,90,38,55
"16","Go Ahead Eagles",6433,160,132,141,31,74
"17","AC Bellinzona",6493,101,175,150,37,128
"18","FC Penafiel",6547,147,146,121,24,29
"19","FC Dordrecht",6631,134,176,164,27,24
"20","FC Lausanne-Sports",7730,141,164,165,54,99
"21","SC Cambuur",7788,136,159,138,53,119
"22","SC Bastia",7794,174,156,210,65,165
"23","SM Caen",7819,157,165,205,77,220
"24","Rio Ave FC",7841,157,180,153,100,248
"25","Estoril Praia",7842,174,139,150,57,167
"26","Vitória Guimarães",7844,131,179,177,110,300
"27","Córdoba CF",7869,146,171,129,31,22
"28","Granada CF",7878,166,200,170,86,179
"29","Sassuolo",7943,188,186,138,47,141
"30","Neuchâtel Xamax",7955,105,190,150,51,171
"31","Górnik Łęczna",8019,140,139,149,36,61
"32","Polonia Bytom",8020,84,150,185,64,245
"33","Zagłębie Lubin",8021,133,192,210,53,207
"34","Pogoń Szczecin",8023,134,185,158,41,152
"35","Widzew Łódź",8024,190,185,158,45,122
"36","Śląsk Wrocław",8025,140,165,180,54,318
"37","Zawisza Bydgoszcz",8027,145,168,143,37,75
"38","Piast Gliwice",8028,183,169,195,56,204
"39","Lechia Gdańsk",8030,162,183,205,75,279
"40","Polonia Bytom",8031,84,150,185,17,88
"41","Podbeskidzie Bielsko-Biała",8033,193,166,152,60,169
"42","Inverness Caledonian Thistle",8066,169,174,139,82,345
"43","Angers SCO",8121,159,180,140,26,40
"44","FC St. Pauli",8152,161,190,185,25,35
"45","1. FC Nürnberg",8165,153,180,162,63,193
"46","Hertha BSC Berlin",8177,175,172,155,79,238
"47","Bayer 04 Leverkusen",8178,157,210,200,71,483
"48","Burnley",8191,154,210,205,43,70
"49","Fortuna Düsseldorf",8194,198,190,169,25,39
"50","Leicester City",8197,164,185,210,30,114
"51","KV Mechelen",8203,134,150,190,71,285
"52","TSG 1899 Hoffenheim",8226,180,191,200,88,400
"53","FC Ingolstadt 04",8234,160,151,140,23,33
"54","Odra Wodzisław",8242,75,155,205,9,50
"55","Widzew Łódź",8244,190,185,158,17,50
"56","Korona Kielce",8245,192,169,172,60,237
"57","SV Darmstadt 98",8262,179,174,129,21,38
"58","Vitesse",8277,145,173,180,85,423
"59","Dundee FC",8284,142,158,154,56,127
"60","Karlsruher SC",8295,164,205,170,26,30
"61","Sevilla FC",8302,183,206,195,105,478
"62","Getafe CF",8305,117,155,164,87,345
"63","UD Las Palmas",8306,147,187,171,26,45
"64","Athletic Club de Bilbao",8315,139,184,170,58,415
"65","Arka Gdynia",8322,83,150,205,13,77
"66","Club Brugge KV",8342,139,170,200,91,421
"67","Cardiff City",8344,168,210,210,26,32
"68","Moreirense FC",8348,139,144,138,58,101
"69","1. FC Kaiserslautern",8350,167,185,210,38,72
"70","SpVgg Greuther Fürth",8357,167,170,170,30,26
"71","SC Freiburg",8358,151,160,158,70,245
"72","Rayo Vallecano",8370,141,161,178,82,247
"73","CA Osasuna",8371,143,193,177,67,232
"74","SD Eibar",8372,165,179,142,41,83
"75","CD Numancia",8388,137,160,158,22,38
"76","Real Zaragoza",8394,154,166,158,71,159
"77","FC Energie Cottbus",8398,126,175,206,21,30
"78","FC Augsburg",8406,169,188,161,59,201
"79","Partick Thistle F.C.",8426,143,160,143,44,135
"80","Hamilton Academical FC",8429,143,200,195,80,185
"81","Chelsea",8455,157,200,168,72,583
"82","Manchester City",8456,130,210,180,77,606
"83","Dunfermline Athletic",8457,115,168,148,26,40
"84","SC Paderborn 07",8460,175,168,145,22,31
"85","Portsmouth",8462,148,195,150,44,72
"86","N.E.C.",8464,150,158,146,97,310
"87","Southampton",8466,129,205,210,47,216
"88","St. Johnstone FC",8467,162,150,142,83,308
"89","Sunderland",8472,154,195,165,103,333
"90","Waasland-Beveren",8475,132,140,114,77,105
"91","RC Recreativo",8479,148,140,151,22,34
"92","AS Nancy-Lorraine",8481,146,172,210,56,203
"93","Blackpool",8483,183,205,210,28,55
"94","Aberdeen",8485,184,210,200,94,365
"95","Stade Brestois 29",8521,161,168,210,48,99
"96","Atalanta",8524,146,170,165,101,283
"97","Willem II",8525,150,166,153,101,222
"98","De Graafschap",8526,78,153,137,62,130
"99","Wigan Athletic",8528,144,190,165,58,200
"100","Cagliari",8529,167,196,187,74,309
"101","Catania",8530,175,178,147,69,251
"102","Chievo Verona",8533,187,170,165,100,285
"103","Empoli",8534,145,186,164,37,86
"104","Fiorentina",8535,121,172,184,106,440
"105","Livorno",8537,183,172,163,56,66
"106","Palermo",8540,168,165,152,107,351
"107","Lazio",8543,188,220,190,77,417
"108","Rangers",8548,153,210,200,53,324
"109","Middlesbrough",8549,144,190,147,24,28
"110","FC Metz",8550,152,175,150,27,31
"111","Siena",8551,144,183,160,76,149
"112","RCD Espanyol",8558,146,196,180,101,338
"113","Bolton Wanderers",8559,167,185,154,46,181
"114","Real Sociedad",8560,162,171,171,49,316
"115","Milan",8564,170,177,164,96,496
"116","GKS Bełchatów",8569,143,175,200,40,190
"117","KV Kortrijk",8571,129,159,185,82,267
"118","KV Oostende",8573,155,140,133,37,102
"119","AC Ajaccio",8576,168,180,140,47,116
"120","Levante UD",8581,171,182,155,84,241
"121","AJ Auxerre",8583,168,164,145,42,168
"122","Tottenham Hotspur",8586,133,210,181,74,481
"123","RC Lens",8588,165,180,200,55,107
"124","Olympique de Marseille",8592,169,210,200,82,462
"125","Ajax",8593,117,199,193,83,647
"126","Falkirk",8596,140,200,200,38,68
"127","Kilmarnock",8597,167,205,200,116,346
"128","Udinese",8600,205,199,160,89,415
"129","Wolverhampton Wanderers",8602,140,210,210,41,118
"130","Real Betis Balompié",8603,145,206,165,98,225
"131","FC Twente",8611,131,172,197,95,509
"132","Boavista FC",8613,153,128,148,43,51
"133","Sparta Rotterdam",8614,75,140,90,32,76
"134","Real Madrid CF",8633,153,200,178,68,843
